x,y,z
60.0,21.6,9.154
79.60000000000001,36.8,0.0
40.400000000000006,7.2,3.855
60.0,22.4,8.977
79.60000000000001,37.6,0.0
60.0,23.0,8.967
40.400000000000006,8.0,4.326
79.60000000000001,38.2,0.0
40.400000000000006,8.6,4.641
60.0,23.8,8.96
79.60000000000001,39.0,0.0
79.60000000000001,39.6,0.0
40.400000000000006,9.4,5.036
60.0,24.6,8.905
60.0,25.200000000000003,8.81
40.400000000000006,10.2,5.491
79.60000000000001,40.400000000000006,0.0
40.400000000000006,10.8,5.779
60.0,26.0,8.783
79.60000000000001,41.2,0.0
79.60000000000001,41.8,0.0
40.400000000000006,11.6,6.236
60.0,26.8,8.68
40.400000000000006,12.2,6.63
60.0,27.4,8.457
79.60000000000001,42.6,0.0
40.400000000000006,13.0,7.026
60.0,28.200000000000003,8.431
79.60000000000001,43.400000000000006,0.0
60.0,28.8,8.307
40.400000000000006,13.8,7.481
79.60000000000001,44.0,0.0
40.400000000000006,14.4,7.81
60.0,29.6,8.03
79.60000000000001,44.8,0.0
79.60000000000001,45.400000000000006,0.0
20.8,0.0,0.0
40.400000000000006,15.2,8.191
60.0,30.4,7.512
40.400000000000006,15.8,8.536
20.8,0.8,0.322
60.0,31.0,7.092
79.60000000000001,46.2,0.0
20.8,1.4,0.682
40.400000000000006,16.6,8.849
60.0,31.8,6.504
60.0,32.4,5.973
20.8,2.2,1.122
40.400000000000006,17.400000000000002,8.976
79.60000000000001,47.0,0.0
20.8,2.8000000000000003,1.532
40.400000000000006,18.0,9.027
60.0,33.2,5.331
79.60000000000001,47.6,0.0
20.8,3.6,1.955
40.400000000000006,18.8,8.97
60.0,34.0,4.715
40.400000000000006,19.4,8.925
20.8,4.4,2.461
60.0,34.6,4.266
79.60000000000001,49.0,0.0
20.8,5.0,2.751
40.400000000000006,20.200000000000003,8.908
60.0,35.4,3.5
60.0,36.0,3.107
20.8,5.800000000000001,3.186
40.400000000000006,21.0,8.678
20.8,6.4,3.648
40.400000000000006,21.6,8.561
60.0,36.8,2.293
20.8,7.2,4.025
40.400000000000006,22.4,8.742
60.0,37.6,1.714
40.400000000000006,23.0,8.616
20.8,8.0,4.448
60.0,38.2,1.153
20.8,8.6,4.85
40.400000000000006,23.8,8.361
60.0,39.0,0.314
60.0,39.6,-0.006
20.8,9.4,5.348
40.400000000000006,24.6,8.138
40.400000000000006,25.200000000000003,8.012
20.8,10.2,5.819
60.0,40.400000000000006,0.0
20.8,10.8,6.161
40.400000000000006,26.0,7.866
60.0,41.2,0.0
60.0,41.8,0.0
20.8,11.6,6.642
40.400000000000006,26.8,8.108
20.8,12.2,6.93
40.400000000000006,27.4,8.421
60.0,42.6,0.0
20.8,13.0,7.454
40.400000000000006,28.200000000000003,8.779
60.0,43.400000000000006,0.0
40.400000000000006,28.8,8.554
20.8,13.8,7.842
60.0,44.0,0.0
20.8,14.4,8.207
40.400000000000006,29.6,8.053
60.0,44.8,0.0
60.0,45.400000000000006,0.0
1.2000000000000002,0.0,0.0
20.8,15.2,8.714
40.400000000000006,30.4,7.589
20.8,15.8,9.024
1.2000000000000002,0.8,0.0
40.400000000000006,31.0,7.071
60.0,46.2,0.0
1.2000000000000002,1.4,0.0
20.8,16.6,8.981
40.400000000000006,31.8,6.496
40.400000000000006,32.4,6.018
1.2000000000000002,2.2,0.0
20.8,17.400000000000002,8.934
60.0,47.0,0.0
1.2000000000000002,2.8000000000000003,0.0
20.8,18.0,9.069
39.2,29.6,7.811
40.400000000000006,33.2,5.37
1.2000000000000002,3.6,0.0
20.8,18.8,9.085
40.400000000000006,34.0,4.697
20.8,19.4,9.25
1.2000000000000002,4.4,0.0
40.400000000000006,34.6,4.355
60.0,49.0,0.0
1.2000000000000002,5.0,0.0
20.8,20.200000000000003,9.316
40.400000000000006,35.4,3.699
40.400000000000006,36.0,3.222
1.2000000000000002,5.800000000000001,0.0
20.8,21.0,9.314
1.2000000000000002,6.4,0.0
20.8,21.6,9.232
40.400000000000006,36.8,2.6
1.2000000000000002,7.2,0.0
20.8,22.4,9.058
40.400000000000006,37.6,1.906
20.8,23.0,9.002
1.2000000000000002,8.0,0.0
40.400000000000006,38.2,1.289
1.2000000000000002,8.6,0.0
20.8,23.8,8.928
40.400000000000006,39.0,0.729
40.400000000000006,39.6,0.305
1.2000000000000002,9.4,0.0
20.8,24.6,8.991
20.8,25.200000000000003,8.917
1.2000000000000002,10.2,0.0
40.400000000000006,40.400000000000006,0.146
1.2000000000000002,10.8,0.0
20.8,26.0,8.699
